eevents_key,irn,AdmPublishWebNoPassword,EveEventNumber,EveTypeOfEvent,EveExhibitionStatus,EveEventTitle,EveEventDescription,EveInternalOrExternalEvent,DatCommencementDate,DatCompletionDate,SecRecordStatus,AdmDateModified,,,,,,,,,,,,,
4811,5884,Yes,HIST1985.7,Outgoing Loan,Completed,Exposition du Pointillisme,"Kyoto Municipal Museum of Art, Kyoto, Japan",External,6/4/1985,7/14/1985,Closed,1/28/2020,,,,,,,,,,,,,
4812,5899,Yes,HIST1985.8,Outgoing Loan,Completed,Exposition du Pointillisme,"Tokyo Metropolitan Teien Msueum, Tokyo, Japan",External,4/6/1985,5/26/1985,Closed,7/15/2021,,,,,,,,,,,,,
4813,5949,Yes,HIST1985.10,Outgoing Loan,Completed,Exhibition du Pointillisme,"Tokyo Teien Art Museum, Tokyo, Japan",External,1985,1985,Closed,9/30/2022,,,,,,,,,,,,,
4814,5950,Yes,HIST1985.11,Outgoing Loan,Completed,Exposition du Pointillisme,"Kyoto Municipal Museum of Art, Kyoto, Japan",External,1985,1985,Closed,9/30/2022,,,,,,,,,,,,,
4815,6086,Yes,HIST1985.12,Outgoing Loan,Completed,Baroque Portraiture in Italy: Works from North American Collections,"Wadsworth Atheneum, Hartford, Connecticut",External,3/20/1985,5/20/1985,Closed,9/30/2022,,,,,,,,,,,,,
4816,6622,Yes,HIST1985.13,Outgoing Loan,Completed,A Day in the Country: Impressionism and the French Landscape,"Galeries Nationales, Grand Palais Champs-Elysées, Paris, France",External,2/8/1985,4/22/1985,Closed,7/2/2021,,,,,,,,,,,,,
4817,4705,Yes,HIST1986.1,Outgoing Loan,Completed,A Magic Mirror: The Portrait in France 1700-1900,"Museum of Fine Arts, Houston, Texas",External,10/10/1986,1/25/1987,Closed,2/8/2019,,,,,,,,,,,,,
4818,4717,Yes,HIST1986.2,Outgoing Loan,Completed,"Francois Boucher, 1703-1770","Metropolitan Museum of Art, New York, New York",External,2/17/1986,5/4/1986,Closed,2/8/2019,,,,,,,,,,,,,
4819,4718,Yes,HIST1986.3,Outgoing Loan,Completed,"Francois Boucher, 1703-1770","Detroit Institute of Art, Detroit, Michigan",External,5/27/1986,8/17/1986,Closed,2/8/2019,,,,,,,,,,,,,
4820,4719,Yes,HIST1986.4,Outgoing Loan,Completed,"Francois Boucher, 1703-1770","Réunion des Musées Nationaux, Grand Palais, Paris, France",External,9/19/1986,1/7/1987,Closed,2/8/2019,,,,,,,,,,,,,
4821,4734,Yes,HIST1986.5,Outgoing Loan,Completed,An Enkindled Eye: The Paintings of Rockwell Kent,"Everson Museum of Art, Syracuse, New York",External,4/11/1986,5/18/1986,Closed,2/8/2019,,,,,,,,,,,,,
4822,4735,Yes,HIST1986.6,Outgoing Loan,Completed,An Enkindled Eye: The Paintings of Rockwell Kent,"Portland Museum of Art, Portland, Maine",External,1/21/1986,3/2/1986,Closed,2/8/2019,,,,,,,,,,,,,
4823,4755,Yes,HIST1986.7,Outgoing Loan,Completed,The American Animal,"Mansfield Art Center, Mansfield, Ohio",External,3/9/1986,4/6/1986,Closed,2/8/2019,,,,,,,,,,,,,
4824,4757,Yes,HIST1986.8,Outgoing Loan,Completed,After the Chinese Taste,"Heritage Museums & Gardens, Sandwich, Massachusetts",External,5/11/1986,10/26/1986,Closed,2/8/2019,,,,,,,,,,,,,
4825,4862,Yes,HIST1986.9,Outgoing Loan,Completed,Claude Monet”,"Spanish Museum of Contemporary Art, Madrid, Spain",External,4/29/1986,6/30/1986,Closed,2/8/2019,,,,,,,,,,,,,
4826,5031,Yes,HIST1986.10,Outgoing Loan,Completed,John Storrs (1885-1956),"Whitney Museum of American Art, New York, New York",External,12/11/1986,3/22/1987,Closed,2/8/2019,,,,,,,,,,,,,
4827,5806,Yes,HIST1986.11,Outgoing Loan,Completed,Turner Exhibition in Japan,"Kyoto Municipal Museum of Art, Kyoto, Japan",External,10/15/1986,11/24/1986,Closed,2/8/2019,,,,,,,,,,,,,
4828,5807,Yes,HIST1986.12,Outgoing Loan,Completed,Turner Exhibition in Japan,"National Museum of Western Art, Tokyo, Japan",External,8/16/1986,10/5/1986,Closed,2/8/2019,,,,,,,,,,,,,
4829,5942,Yes,HIST1986.15,Exhibition Prior to IMA Acquisition,Completed,El Greco Exhibition,"The National Museum of Western Art, Tokyo, Japan",External,10/18/1986,12/14/1986,Closed,2/22/2019,,,,,,,,,,,,,
4830,6018,Yes,HIST1986.16,Outgoing Loan,Completed,Van Gogh in Saint Remy and Auvers,"Metropolitan Museum of Art, New York, New York",External,10/27/1986,3/22/1987,Closed,8/26/2021,,,,,,,,,,,,,
4831,6482,Yes,HIST1986.17,Outgoing Loan,Completed,Pop Art,"Humanities Center Gallery, Wabash College, Crawfordsville, Indiana",External,10/29/1986,12/7/1986,Closed,8/28/2020,,,,,,,,,,,,,
4832,6558,Yes,HIST1986.18,Exhibition Prior to IMA Acquisition,Completed,African Aesthetics,"The Center for African Arts, New York, New York",External,5/7/1986,9/7/1986,Closed,2/4/2021,,,,,,,,,,,,,
4833,3857,Yes,HIST1986.19,Outgoing Loan,Completed,The Aura of Neo-Impressionism: The W.J. Holliday Collection,"New Orleans Museum of Art, New Orleans, Louisiana",External,11/15/1986,2/8/1987,Closed,10/25/2021,,,,,,,,,,,,,
4834,4555,Yes,HIST1987.1,Exhibition Prior to IMA Acquisition,Completed,Landscape Interpreted,"Allan Frumkin Gallery, New York, New York",External,1987,1987,Closed,2/8/2019,,,,,,,,,,,,,
4835,4576,Yes,HIST1987.2,Outgoing Loan,Completed,Image of Innocence: The Child In Hooser Art,"Indiana State Museum & Historic Sites, Indianapolis, Indiana",External,6/20/1987,8/30/1987,Closed,2/8/2019,,,,,,,,,,,,,
4836,4577,Yes,HIST1987.3,Outgoing Loan,Completed,Image of Innocence: The Child in Hoosier Art,"Evansville Museum of Arts, History and Science, Evansville, Indiana",External,4/19/1987,5/31/1987,Closed,2/8/2019,,,,,,,,,,,,,
4837,5032,Yes,HIST1987.4,Outgoing Loan,Completed,John Storrs (1885-1956),"Amon Carter Museum, Fort Worth, Texas",External,5/2/1987,7/5/1987,Closed,2/8/2019,,,,,,,,,,,,,
4838,5033,Yes,HIST1987.5,Outgoing Loan,Completed,John Storrs (1885-1956),"J.B. Speed Art Museum, Louisville, Kentucky",External,8/28/1987,11/1/1987,Closed,2/8/2019,,,,,,,,,,,,,
4839,6286,No,HIST1987.11,Outgoing Loan,Completed,Munich and American Realism,"Cincinnati Art Museum, Cincinnati, Ohio",External,10/2/1987,1/3/1988,Closed,11/20/2019,,,,,,,,,,,,,
4840,2430,Yes,HIST1987.12,Outgoing Loan,Completed,The Aura of Neo-Impressionism: The W.J. Holliday Collection,"High Museum of Art, Atlanta, Georgia",External,3/24/1987,5/17/1987,Closed,10/25/2021,,,,,,,,,,,,,
4841,3894,Yes,HIST1987.13,Outgoing Loan,Completed,The Aura of Neo-Impressionism: The W.J. Holliday Collection,"Chrysler Museum of Art, Norfolk, Virginia",External,6/26/1987,8/23/1987,Closed,10/25/2021,,,,,,,,,,,,,
4842,2446,Yes,HIST1987.14,Outgoing Loan,Completed,The Aura of Neo-Impressionism: The W.J. Holliday Collection,"Dixon Gallery, Memphis, Tennessee",External,9/15/1987,11/8/1987,Closed,10/25/2021,,,,,,,,,,,,,
4843,4768,Yes,HIST1988.1,Exhibition Prior to IMA Acquisition,Completed,Le Japonisme,"Musée d Art Occidental, Tokyo, Japan",External,9/23/1988,12/11/1988,Closed,2/8/2019,,,,,,,,,,,,,
4844,4769,Yes,HIST1988.2,Exhibition Prior to IMA Acquisition,Completed,Le Japonisme,"Réunion des Musées Nationaux Grand Palais, Paris, France",External,5/17/1988,8/15/1988,Closed,2/8/2019,,,,,,,,,,,,,
4845,4780,Yes,HIST1988.3,Outgoing Loan,Completed,"Painting, Sculpture and Works on Paper by Contemporary Artists Born in Indiana","Herron School of Art and Design, Indianapolis, Indiana",External,1/15/1988,2/27/1988,Closed,2/8/2019,,,,,,,,,,,,,
4846,5064,Yes,HIST1988.4,Outgoing Loan,Completed,After Eden: American Landscape 1875-1925,"New Jersey State Museum, Trenton, New Jersey",External,5/21/1988,9/4/1988,Closed,2/8/2019,,,,,,,,,,,,,
4847,5352,Yes,HIST1988.5,Outgoing Loan,Completed,Monet In London,"High Museum of Art, Atlanta, Georgia",External,10/2/1988,12/31/1988,Closed,2/8/2019,,,,,,,,,,,,,
4848,5482,Yes,HIST1988.6,Outgoing Loan,Completed,Spectator of Life,"Delaware Art Museum, Wilmington, Delaware",External,4/26/1988,1/1/1989,Closed,3/11/2020,,,,,,,,,,,,,
4849,5890,Yes,HIST1988.9,Outgoing Loan,Completed,Neo-Impressionism:  Suerat tot Struycken,"Rijksmuseum Vincent Van Gogh, Amsterdam, The Netherlands",External,1988,1988,Closed,2/8/2019,,,,,,,,,,,,,
4850,5905,Yes,HIST1988.10,Outgoing Loan,Completed,Henry Van de Velde 1863 - 1957:  Paintings and Drawings,"Rijksmuseum Kroller Muller, Otterlo, The Netherlands",External,3/19/1988,5/1/1988,Closed,2/8/2019,,,,,,,,,,,,,
4851,5906,Yes,HIST1988.11,Outgoing Loan,Completed,Neo-Impressionism Seurat tot Struycken,"Rijksmuseum Vincent Van Gogh, Amsterdam, The Netherlands",External,1988,1988,Closed,2/8/2019,,,,,,,,,,,,,
4852,5907,Yes,HIST1988.12,Outgoing Loan,Completed,Henry Van de Velde 1863 - 1957:  Paintings and Drawings,"Koninklijk Museum coor Schone Kunsten, Antwerp, Belgium",External,3/12/1988,5/1/1988,Closed,2/8/2019,,,,,,,,,,,,,
4853,5939,Yes,HIST1988.13,Outgoing Loan,Completed,Exhibition,"Van Gogh Museum, Amsterdam, The Netherlands",External,1988,1988,Closed,2/18/2019,,,,,,,,,,,,,
4854,5948,Yes,HIST1988.14,Outgoing Loan,Completed,Exposition for the Family,"Tokyo Metropolitan Teien Museum, Tokyo, Japan",External,1988,1988,Closed,1/28/2020,,,,,,,,,,,,,
4855,6428,Yes,HIST1988.15,Outgoing Loan,Completed,Frank W. Benson: The Impressionist Years,"Spaneirman Gallery, New York, New York",External,5/10/1988,6/11/1988,Closed,3/11/2020,,,,,,,,,,,,,
4856,6580,Yes,HIST1988.16,Exhibition Prior to IMA Acquisition,Completed,The Art of Paul Gauguin,"National Gallery of Art, Washington, District of Columbia",External,5/1/1988,7/31/1988,Closed,7/25/2021,,,,,,,,,,,,,
4857,6581,Yes,HIST1988.17,Exhibition Prior to IMA Acquisition,Completed,The Art of Paul Gauguin,"Art Institute of Chicago, Chicago, Illinois",External,9/7/1988,12/10/1988,Closed,11/5/2021,,,,,,,,,,,,,
4858,2461,Yes,HIST1988.18,Outgoing Loan,Completed,The Aura of Neo-Impressionism: The W.J. Holliday Collection,"David and Alfred Smart Museum of Art, Chicago, Illinois",External,1/14/1988,3/6/1988,Closed,10/25/2021,,,,,,,,,,,,,
4859,6849,No,HIST1988.19,Exhibition Prior to IMA Acquisition,Completed,The David and Bonnie Ross Collection of Precolumbian Art,,External,8/22/1988,10/2/1988,,2/8/2022,,,,,,,,,,,,,
4860,4510,Yes,HIST1989.1,Outgoing Loan,Completed,Art of the American West (The West As Inspiration),"Eiteljorg Museum of American Indians and Western Art, Indianapolis, Indiana",External,1989-05-,3/26/2004,Closed,2/8/2019,,,,,,,,,,,,,
4861,4556,Yes,HIST1989.2,Exhibition Prior to IMA Acquisition,Completed,Indiana University Faculty Show,"Indiana University Art Museum, Bloomington, Indiana",External,1989-02-,1989,Closed,2/8/2019,,,,,,,,,,,,,
4862,4601,Yes,HIST1989.3,Exhibition Prior to IMA Acquisition,Completed,Yale University Exhibition,"Yale University Art Gallery, New Haven, Connecticut",External,1989,1989,Closed,2/8/2019,,,,,,,,,,,,,
4863,4761,Yes,HIST1989.4,Outgoing Loan,Completed,Boundaries: A Tradition of Drawing at Herron School of Art,"Herron School of Art and Design, Indianapolis, Indiana",External,1/20/1989,2/25/1989,Closed,2/8/2019,,,,,,,,,,,,,
4864,4809,Yes,HIST1989.5,Exhibition Prior to IMA Acquisition,Completed,"Paul Gauguin Paris, 1989","Van Gogh Museum, Amsterdam, The Netherlands",External,1989,1989,Closed,3/4/2021,,,,,,,,,,,,,
4865,4855,Yes,HIST1989.6,Exhibition Prior to IMA Acquisition,Completed,"The Edge of Town: Painting the Indiana Scene, 1932-1948","Indianapolis Art League, Indianapolis, Indiana",External,1989,1989,Closed,2/8/2019,,,,,,,,,,,,,
4866,6412,Yes,HIST1989.7,Outgoing Loan,Completed,Worthington Whittredge,"John and Mable Ringling Museum of Art, Sarasota, Florida",External,12/8/1989,3/10/1990,Closed,2/6/2020,,,,,,,,,,,,,
4867,6582,Yes,HIST1989.8,Exhibition Prior to IMA Acquisition,Completed,The Art of Paul Gauguin,"Grand Palais, Paris, France",External,1/10/1989,4/20/1989,Closed,7/25/2021,,,,,,,,,,,,,
4868,6939,No,HIST1989.9,Exhibition Prior to IMA Acquisition,Completed,Richard Hunt,"Dorsky Gallery, New York, New York",,4/14/1989,4/29/1989,,9/8/2022,,,,,,,,,,,,,
4869,4586,Yes,HIST1990.1,Outgoing Loan,Completed,Textiles of the Cuna Indians,"Saint Louis Art Museum. Saint Louis, Missouri",External,8/28/1990,2/10/1991,Closed,2/8/2019,,,,,,,,,,,,,
4870,4644,Yes,HIST1990.2,Outgoing Loan,Completed,W. Victor Higgins: An American Painter,"Phoenix Art Museum, Phoenix, Arizona",External,12/14/1990,2/10/1991,Closed,2/8/2019,,,,,,,,,,,,,
4871,4766,Yes,HIST1990.3,Exhibition Prior to IMA Acquisition,Completed,"Emile Bernard, 1868-1941: A Pioneer of Modern Art/Ein Wegbereiter der Moderne","Städtische Kunsthalle, Mannheim, Germany",External,5/12/1990,8/5/1990,Closed,2/8/2019,,,,,,,,,,,,,
4872,4829,Yes,HIST1990.4,Outgoing Loan,Completed,Winslow Homer in Gloucester,"Terra Museum of American Art, Chicago, Illinois",External,11/17/1990,1/13/1991,Closed,2/8/2019,,,,,,,,,,,,,
4873,5164,Yes,HIST1990.5,Exhibition Prior to IMA Acquisition,Completed,"Emile Bernard, Rijksmuseum Vincent Van Gogh","Rijksmuseum Twenthe, Enschede, The Netherlands",External,8/24/1990,11/4/1990,Closed,2/8/2019,,,,,,,,,,,,,
4874,5381,Yes,HIST1990.6,Exhibition Prior to IMA Acquisition,Completed,"The Age of Van Gogh, Dutch Painting 1880-1895","The Burrell Collection, Glasgow, Scotland",External,11/10/1990,2/10/1991,Closed,2/8/2019,,,,,,,,,,,,,
4875,6019,Yes,HIST1990.7,Outgoing Loan,Completed,Vincent Van Gogh 1990,"Rijksmuseum Vincent Van Gogh, Amsterdam, The Netherlands",External,3/30/1990,7/29/1990,Closed,10/8/2020,,,,,,,,,,,,,
4876,6138,Yes,HIST1990.9,Outgoing Loan,Completed,Exposition Modigliani,"Fondation Pierre Gianadda, Martigny, Switzerland",External,6/19/1990,11/11/1990,Closed,10/8/2020,,,,,,,,,,,,,
4877,6409,Yes,HIST1990.11,Outgoing Loan,Completed,Worthington Whittredge,"Hunter Museum of Art, Chattanooga, Tennessee",External,6/10/1990,8/5/1990,Closed,2/6/2020,,,,,,,,,,,,,
4878,6411,Yes,HIST1990.12,Outgoing Loan,Completed,Worthington Whittredge,"Amon Carter Museum, Fort Worth, Texas",External,3/24/1990,5/20/1990,Closed,2/6/2020,,,,,,,,,,,,,
4879,6657,Yes,HIST1990.13,Outgoing Loan,Completed,Sainte-Victoire Cézanne 1990,"Musèe Granet, Aix-en-Provence, France",External,6/15/1990,6/15/1990,Closed,7/26/2021,,,,,,,,,,,,,
4880,6864,No,HIST1990.14,Exhibition Prior to IMA Acquisition,Completed,Charles Alston: Artist and Teacher,,External,5/13/1990,7/1/1990,Closed,2/25/2022,,,,,,,,,,,,,
4881,4624,Yes,HIST1991.1,Outgoing Loan,Completed,Valentino - Trent 'Anni de Magia' (Thirty years of Magic),"Academia Valentino, Rome, Italy",External,1991,1991,Closed,2/8/2019,,,,,,,,,,,,,
4882,4640,Yes,HIST1991.2,Outgoing Loan,Completed,W. Victor Higgins: An American Painter,"Thomas Gilcrease Museum, Tulsa, Oklahoma",External,10/13/1991,12/29/1991,Closed,2/8/2019,,,,,,,,,,,,,
4883,4641,Yes,HIST1991.3,Outgoing Loan,Completed,W. Victor Higgins: An American Painter,"Snite Museum of Art, University of Notre Dame, South Bend, Indiana",External,6/2/1991,9/15/1991,Closed,2/8/2019,,,,,,,,,,,,,
4884,4643,Yes,HIST1991.4,Outgoing Loan,Completed,W. Victor Higgins: An American Painter,"Buffalo Bill Museum, Cody, Wyoming",External,3/10/1991,5/10/1991,Closed,2/8/2019,,,,,,,,,,,,,
4885,4706,Yes,HIST1991.6,Outgoing Loan,Completed,Nicolas Lancret 1690-1743,"The Frick Collection, New York, New York",External,11/18/1991,1/12/1992,Closed,2/8/2019,,,,,,,,,,,,,
4886,4839,Yes,HIST1991.7,Outgoing Loan,Completed,Walters Art Gallery Exhibition,"Walters Art Gallery, Baltimore, Maryland",External,3/24/1991,5/27/1991,Closed,2/8/2019,,,,,,,,,,,,,
4887,4840,Yes,HIST1991.8,Outgoing Loan,Completed,Rhode Island School of Design Exhibition,"Rhode Island School of Design, Providence, Rhode Island",External,9/20/1991,11/10/1991,Closed,2/8/2019,,,,,,,,,,,,,
4888,4882,Yes,HIST1991.9,Exhibition Prior to IMA Acquisition,Completed,Long Term Loan,"Rijksmuseum, Amsterdam, The Netherlands",External,1991,1997,Closed,2/8/2019,,,,,,,,,,,,,
4889,4981,Yes,HIST1991.10,Exhibition Prior to IMA Acquisition,Completed,"Memory and Metaphor: The Art of Romare Bearden, 1940-1987","The Studio Museum in Harlem, New York, New York",External,1991,,Closed,2/8/2019,,,,,,,,,,,,,
4890,4982,Yes,HIST1991.11,Exhibition Prior to IMA Acquisition,Completed,"Memory and Metaphor: The Art of Romare Bearden, 1940-1987","Museum of Contemporary Art, Chicago, Illinois",External,1991,,Closed,2/8/2019,,,,,,,,,,,,,
4891,4983,Yes,HIST1991.12,Exhibition Prior to IMA Acquisition,Completed,"Memory and Metaphor: The Art of Romare Bearden, 1940-1987","University of California, Wright Gallery, Los Angeles, California",External,1991,,Closed,2/8/2019,,,,,,,,,,,,,
4892,4984,Yes,HIST1991.13,Exhibition Prior to IMA Acquisition,Completed,"Memory and Metaphor: The Art of Romare Bearden, 1940-1987","High Museum of Art, Atlanta, Georgia",External,1991,,Closed,2/8/2019,,,,,,,,,,,,,
4893,4985,Yes,HIST1991.14,Exhibition Prior to IMA Acquisition,Completed,"Memory and Metaphor: The Art of Romare Bearden, 1940-1987","Carngegie Institute Museum of Art, Pittsburg, Pennsylvania",External,1991,,Closed,2/8/2019,,,,,,,,,,,,,
4894,4986,Yes,HIST1991.15,Exhibition Prior to IMA Acquisition,Completed,"Memory and Metaphor: The Art of Romare Bearden, 1940-1987","National Museum of American Art, Smithsonian Institution, Washington, D.C.",External,1991,,Closed,2/8/2019,,,,,,,,,,,,,
4895,5321,Yes,HIST1991.16,Outgoing Loan,Completed,Words and #s,"Museum of Contemporary Art, Wright State University, Dayton, Ohio",External,4/7/1991,5/10/1991,Closed,2/8/2019,,,,,,,,,,,,,
4896,5946,Yes,HIST1991.17,Outgoing Loan,Completed,Seurat,"Metropolitan Museum of Art, New York, New York",External,9/9/1991,1/12/1992,Closed,1/28/2020,,,,,,,,,,,,,
4897,5947,Yes,HIST1991.18,Outgoing Loan,Completed,Seurat,"Galeries Nationales du Grand Palais, Paris, France",External,4/10/1991,8/10/1991,Closed,10/12/2022,,,,,,,,,,,,,
4898,6700,Yes,HIST1991.19,Exhibition Prior to IMA Acquisition,Completed,"Paul Sérusier et la Bretagne,","Musée de Pont-Aven, Pont-Aven, France",External,6/30/1991,9/30/1991,Closed,7/23/2021,,,,,,,,,,,,,
4899,4638,Yes,HIST1992.1,Outgoing Loan,Completed,W. Victor Higgins: An American Painter,"Eiteljorg Museum of the American Indian and Western Art, Indianapolis, Indiana",External,4/7/1992,5/31/1992,Closed,2/8/2019,,,,,,,,,,,,,
4900,4639,Yes,HIST1992.2,Outgoing Loan,Completed,W. Victor Higgins: An American Painter,"Gene Autry Western Heritage Museum, Los Angeles, California",External,1/26/1992,3/14/1992,Closed,2/8/2019,,,,,,,,,,,,,
4901,4708,Yes,HIST1992.4,Outgoing Loan,Completed,Nicolas Lancret 1690-1743,"Kimbell Art Museum, Fort Worth, Texas",External,2/15/1992,4/12/1992,Closed,2/8/2019,,,,,,,,,,,,,
4902,4784,Yes,HIST1992.5,Outgoing Loan,Completed,Western Art,"Sheldon Swope Art Museum, Terre Haute, Indiana",External,11/21/1992,1/10/1993,Closed,2/8/2019,,,,,,,,,,,,,
4903,5041,Yes,HIST1992.6,Exhibition Prior to IMA Acquisition,Completed,Jusepe de Ribera: 1591-1652,"The Metropolitan Museum of Art, New York, New York",External,9/16/1992,11/22/1992,Closed,2/8/2019,,,,,,,,,,,,,
4904,5322,Yes,HIST1992.7,Outgoing Loan,Completed,Pop Art,"Montreal Museum of Fine Arts, Montreal, Canada",External,10/14/1992,1/24/1993,Closed,2/8/2019,,,,,,,,,,,,,
4905,4697,Yes,HIST1993.1,Outgoing Loan,Completed,Latin American Visions II: Mexico,"Art Museum of Greater Lafayette, Lafayette, Indiana",External,1/8/1993,3/28/1993,Closed,2/8/2019,,,,,,,,,,,,,
4906,5153,Yes,HIST1993.2,Outgoing Loan,Completed,The Art of Seeing: John Ruskin and the Victorian Eye,"Phoenix Art Museum, Phoenix, Arizona",External,3/6/1993,5/23/1993,Closed,2/8/2019,,,,,,,,,,,,,
4907,5416,Yes,HIST1993.3,Outgoing Loan,Completed,L'Europe des Peintres,"Musee d'Orsay, Paris, France",External,2/23/1993,5/23/1993,Closed,2/8/2019,,,,,,,,,,,,,
4908,5606,No,HIST1993.4,Exhibition Prior to IMA Acquisition,Completed,Gauguin et l'Ecole de Pont-Aven,"Bunkamura Museum of Art, Tokyo, Japan",External,4/10/1993,5/30/1993,Closed,2/8/2019,,,,,,,,,,,,,
4909,5607,No,HIST1993.5,Exhibition Prior to IMA Acquisition,Completed,Gauguin et l'Ecole de Pont-Aven,"National Museum of Art, Kyoto, Japan",External,6/8/1993,7/18/1993,Closed,2/8/2019,,,,,,,,,,,,,
4910,5808,Yes,HIST1993.6,Outgoing Loan,Completed,Glorious Nature: British Landscape Painting 1750 - 1850,"Denver Art Museum, Denver, Colorado",External,12/11/1993,2/6/1994,Closed,2/8/2019,,,,,,,,,,,,,
4911,5920,Yes,HIST1993.7,Exhibition Prior to IMA Acquisition,Completed,Georgia O'Keeffe:  American and Modern,"The Hayward Gallery, London, England",External,1993,1993,Closed,2/11/2019,,,,,,,,,,,,,
4912,5921,Yes,HIST1993.8,Exhibition Prior to IMA Acquisition,Completed,Georgia O'Keeffe:  American and Modern,"Palacio de Bellas, Mexico City, Mexico",External,1993,1993,Closed,2/11/2019,,,,,,,,,,,,,
4913,5925,Yes,HIST1993.9,Outgoing Loan,Completed," Sol LeWitt: Twenty-Five Years of Wall Drawings, 1968-1993","Addison Gallery of American Art, Phillips Academy, Andover, Massachusetts",External,4/16/1993,6/13/1993,Closed,2/11/2019,,,,,,,,,,,,,
4914,5999,Yes,HIST1993.10,Exhibition Prior to IMA Acquisition,Completed,Gauguin et l'Ecole de Pont-Aven,"Bunkamura Museum of Art, Tokyo, Japan",External,4/10/1993,5/30/1993,Closed,7/20/2021,,,,,,,,,,,,,
4915,6000,Yes,HIST1993.11,Exhibition Prior to IMA Acquisition,Completed,Gauguin et l'Ecole de Pont-Aven,"National Museum of Modern Art, Kyoto, Japan",External,6/8/1993,7/18/1993,Closed,3/4/2021,,,,,,,,,,,,,
4916,6001,Yes,HIST1993.12,Exhibition Prior to IMA Acquisition,Completed,Gauguin et l'Ecole de Pont-Aven,"Museum of Modern Art, Hokkaido, Japan",External,7/25/1993,8/29/1993,Closed,3/4/2021,,,,,,,,,,,,,
4917,6002,Yes,HIST1993.13,Exhibition Prior to IMA Acquisition,Completed,Gauguin et l'Ecole de Pont-Aven,"Mie Prefectural Art Museum, Tsu, Japan",External,9/4/1993,10/3/1993,Closed,3/4/2021,,,,,,,,,,,,,
4918,6003,Yes,HIST1993.14,Exhibition Prior to IMA Acquisition,Completed,Gauguin et l'Ecole de Pont-Aven,"Koriyama City Museum of Art, Koriyama, Japan",External,10/9/1993,11/28/1993,Closed,3/4/2021,,,,,,,,,,,,,
4919,6052,Yes,HIST1993.15,Exhibition Prior to IMA Acquisition,Completed,The Art Of Seeing:  John Ruskin and the Victorian Eye,"Phoenix Art Museum, Phoenix, Arizona",External,3/6/1993,5/23/1993,Closed,7/13/2021,,,,,,,,,,,,,
4920,4997,Yes,HIST1994.3,Outgoing Loan,Completed,Ideals from the East: Japanese Taste in Middle America. 1863 - 1918,"South Bend Regional Museum of Art, South Bend, Indiana",External,11/14/1994,2/17/1995,Closed,2/8/2019,,,,,,,,,,,,,
4921,5373,Yes,HIST1994.4,Exhibition Prior to IMA Acquisition,Completed,Le Cercle de Gauguin en Bretagne,"Musée de Pont-Aven, Pont-Aven, France",External,1994,1994,Closed,2/8/2019,,,,,,,,,,,,,
4922,5375,Yes,HIST1994.6,Exhibition Prior to IMA Acquisition,Completed,(exhibition title unknown),"Boston Museum of Fine Arts, Boston, Massachusetts",External,1994,1995,Closed,2/23/2022,,,,,,,,,,,,,
4923,5393,Yes,HIST1994.7,Exhibition Prior to IMA Acquisition,Completed,"De Schilders van Tachtig, Nederlandse Schilderkunst1880-1895","Rijksmuseum, Amsterdam, The Netherlands",External,1994,1994,Closed,2/8/2019,,,,,,,,,,,,,
4924,5394,Yes,HIST1994.8,Exhibition Prior to IMA Acquisition,Completed,"La beaute exacte-Art paye-Bas Xxe Siecle, de Van Gogh a Mondrian","Musee d'Art Modern de la Ville de Paris, Paris, France",External,2/14/1994,8/15/1994,Closed,2/8/2019,,,,,,,,,,,,,
4925,5797,Yes,HIST1994.9,Outgoing Loan,Completed,Latter Days of the Law:  Images of Chinese Buddhism 850-1850,"Spencer Museum of Art, University of Kansas, Lawrence, Kansas",External,8/27/1994,10/9/1994,Closed,2/8/2019,,,,,,,,,,,,,
4926,5798,Yes,HIST1994.10,Outgoing Loan,Completed,Latter Days of the Law:  Images of Chinese Buddhism 850-1850,"Asian Art Museum of San Francisco, San Francisco, California",External,11/30/1994,1/29/1995,Closed,2/8/2019,,,,,,,,,,,,,
4927,5864,Yes,HIST1994.11,Outgoing Loan,Completed,Impressionism to Symbolism: The Belgian Avant-Garde 1880-1890,"Royal Academy of Arts, London, England",External,7/7/1997,10/2/1994,Closed,7/30/2021,,,,,,,,,,,,,
4928,5922,Yes,HIST1994.14,Exhibition Prior to IMA Acquisition,Completed,Georgia O'Keeffe:  American and Modern,"Yokohama Museum of Art, Tokyo, Japan",External,1994,1994,Closed,2/11/2019,,,,,,,,,,,,,
4929,6004,Yes,HIST1994.15,Exhibition Prior to IMA Acquisition,Completed,Gauguin and the School of Pont-Aven,"Art Gallery of New South Wales, Sydney, Austrailia",External,5/13/1994,7/24/1994,Closed,7/20/2021,,,,,,,,,,,,,
4930,6005,Yes,HIST1994.16,Exhibition Prior to IMA Acquisition,Completed,Gauguin and the School of Pont-Aven,"Indianapolis Museum of Art, Indianapolis, Indiana",External,9/8/1994,10/23/1994,Closed,3/4/2021,,,,,,,,,,,,,
4931,6006,Yes,HIST1994.17,Exhibition Prior to IMA Acquisition,Completed,Gauguin and the School of Pont-Aven,"Walters Art Gallery, Baltimore, Maryland",External,11/20/1994,1/15/1995,Closed,7/16/2021,,,,,,,,,,,,,
